clubid,name,division,based
1,07 Vestur,Faroese First Division,Faroe Islands (First Division)
2,1. FC Heidenheim 1846,Bundesliga 2,Germany (Bundesliga 2)
3,1.FC Bocholt,German Div. Lower Rhine,Germany (Lower Rhine)
4,12 de Octubre,Paraguayan Second Division,Paraguay (Intermedia)
5,18 de Julio (Fray Bentos),Uruguayan RÃ­o Negro League,Uruguay (RÃ­o Negro League)
6,18 de Julio de Porvenir,Uruguayan PaysandÃº League,Uruguay (PaysandÃº League)
7,18th N'Abbey O.B.,Northern Irish Amateur Division 1B,N.Ireland (Amateur Division 1B)
8,19 de Abril de Cardal,Uruguayan Florida League,Uruguay (Florida League)
9,1922 Konyaspor,Turkish 2. League White Group,Turkey (2. League White)
10,1st Bangor,Northern Irish Amateur Premier Division,N.Ireland (Amateur Premier Division)
11,2 de Mayo,Paraguayan Second Division,Paraguay (Intermedia)
12,24Erzincanspor,Turkish 3. League Group 1,Turkey (3. League Group 1)
13,3 Corrales,Paraguayan Second Division,Paraguay (Intermedia)
14,3 de Febrero CE,Paraguayan Second Division,Paraguay (Intermedia)
15,4 de Julho,Brazilian National Lower Division,Brazil (Lower Division)
16,68 Aksaray Bld.,Turkish 3. League Group 1,Turkey (3. League Group 1)
17,7 de Abril,Brazilian National Lower Division,Brazil (Lower Division)
18,8 de Diciembre (Formosa),Argentine Torneo Federal B,Argentina (Fourth Division non AFA)
19,9 de Julio (Arequito),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
20,9 de Julio (Freyre),Argentine Torneo Federal B,Argentina (Fourth Division non AFA)
21,9 de Julio (Morteros),Argentine Torneo Federal B,Argentina (Fourth Division non AFA)
22,9 de Julio (Rafaela),Argentine Torneo Federal B,Argentina (Fourth Division non AFA)
23,9 de Octubre,Ecuadorian Lower Division,Ecuador (Lower Division)
24,A. Baleares,Spanish Second Division B1,Spain (Second Division B1)
25,A. Bilbao,Spanish First Division,Spain (First Division)
26,A. Bilbao B,Spanish Second Division B2,Spain (Second Division B2)
27,A. Getxo,Spanish Second Division B2,Spain (Second Division B2)
28,A. Madrid,Spanish First Division,Spain (First Division)
29,A. Madrid B,Spanish Second Division B1,Spain (Second Division B1)
30,A. Sagunto,Spanish Third Division Group 6,Spain (Third Division Group 6)
31,A.D. Mongomo,Premier Division - Continental,Eq. Guinea (1. Continental)
32,AA Gent,Belgian Pro League A,Belgium (Pro League A)
33,AaB,3F Superliga,Denmark (3F Superliga)
34,AAC,Brazilian National Third Division,Brazil (Third Division)
35,AAC Eagles,United States Adult Soccer Association,U.S.A. (USASA)
36,Aachen,German Regional Division West,Germany (Regional Div. West)
37,Aalen,German Regional Division Southwest,Germany (Regional Div. Southwest)
38,Aalesund,Norwegian First Division,Norway (First Division)
39,Aalst,Belgian Second Amateur Division B,Belgium (Second Division B)
40,Aarau,Swiss Challenge League,Switzerland (Challenge League)
41,Aarhus Fremad,2. Division,Denmark (2. Division)
42,Aarschot,Brabant Provincial Divison (Fla),Belgium (Brabant Provincial (Fla))
43,AB,2. Division,Denmark (2. Division)
44,Abahani KC (CTG),Bangladeshi Premier League,Bangladesh (Premier League)
45,Abano,Italian Eccellenza Veneto Grp.A,Italy (Eccellenza Veneto A)
46,Abbey Villa,Northern Irish Amateur Division 1A,N.Ireland (Amateur Division 1A)
47,ABDB,Bruneian Super League,Brunei (Super League)
